
 occurs 35772 times.
cancelDialog occurs 4 times.
cancelIntent occurs 1 times.
cancelLoad occurs 2 times.
cancelNotification occurs 6 times.
cancelPotentialWork occurs 1 times.
cancelWork occurs 1 times.
canonicalizeMimeType occurs 2 times.
capitalize occurs 3 times.
catch occurs 14 times.
categories occurs 3 times.
changeContactNameColor occurs 1 times.
changeCursor occurs 7 times.
changeEditTextBackground occurs 5 times.
changeMenuMode occurs 2 times.
changeSort occurs 12 times.
changeUid occurs 1 times.
charAt occurs 4 times.
characters occurs 3 times.
charsetForName occurs 1 times.
charsets occurs 1 times.
checkAgainstMask occurs 8 times.
checkCachedDatabaseVersion occurs 2 times.
checkClientTrusted occurs 2 times.
checkCloseActionMenu occurs 4 times.
checkClosed occurs 41 times.
checkCopyOrMovePossible occurs 1 times.
checkDownloadProvider occurs 3 times.
checkFileVersion occurs 1 times.
checkFocus occurs 10 times.
checkForAttributes occurs 1 times.
checkForBuggyGallery occurs 2 times.
checkForNewSuite occurs 2 times.
checkHasStrictMode occurs 1 times.
checkIconCache occurs 6 times.
checkLayoutParams occurs 2 times.
checkLine occurs 3 times.
checkMail occurs 5 times.
checkMailFailed occurs 2 times.
checkMailFinished occurs 2 times.
checkMailForAccount occurs 2 times.
checkMailStarted occurs 2 times.
checkNotClosed occurs 5 times.
checkOpen occurs 14 times.
checkReply occurs 6 times.
checkSelectionChanged occurs 12 times.
checkServerTrusted occurs 2 times.
checkSettings occurs 5 times.
checkSignal occurs 1 times.
checkSplitPartTransfer occurs 1 times.
checkViewable occurs 1 times.
checkWifi occurs 1 times.
childAt occurs 16 times.
children occurs 1 times.
chooseActivity occurs 2 times.
chooseHeight occurs 2 times.
chooseWidth occurs 2 times.
clamp occurs 1 times.
clean occurs 21 times.
cleanActivityName occurs 8 times.
cleanUp occurs 1 times.
cleanUpHistory occurs 2 times.
cleanup occurs 4 times.
cleanupCanceledEdit occurs 1 times.
cleanupSelected occurs 2 times.
cleanupTabs occurs 4 times.
clear occurs 31 times.
clearAll occurs 2 times.
clearAllAnimations occurs 2 times.
clearAllMessages occurs 1 times.
clearAllMsg occurs 1 times.
clearAllPending occurs 1 times.
clearAnimation occurs 9 times.
clearApplicationLoginInfo occurs 1 times.
clearCaches occurs 2 times.
clearCertificateErrorNotifications occurs 1 times.
clearConnectedStatus occurs 7 times.
clearFocus occurs 6 times.
clearHandler occurs 4 times.
clearHeader occurs 8 times.
clearListSelection occurs 6 times.
clearMessage occurs 4 times.
clearMessagesOlderThan occurs 1 times.
clearMsg occurs 1 times.
clearNotification occurs 1 times.
clearPlaylist occurs 1 times.
clearQueue occurs 7 times.
clearQuotedContent occurs 1 times.
clearRuleDbData occurs 2 times.
clearSavedGame occurs 16 times.
clearSavedState occurs 2 times.
clearSounds occurs 1 times.
clipViewOnTheLeft occurs 3 times.
clipViewOnTheRight occurs 3 times.
clone occurs 51 times.
cloneNode occurs 1 times.
cloneTree occurs 1 times.
close occurs 76 times.
closeAll occurs 3 times.
closeCursor occurs 2 times.
closeExternalStorageFiles occurs 3 times.
closeFolder occurs 29 times.
closeIO occurs 3 times.
closeInputMethod occurs 3 times.
closeKeyboard occurs 4 times.
closeMode occurs 2 times.
closeOptionsMenu occurs 12 times.
closeQuietly occurs 5 times.
closeSnippet occurs 4 times.
closeStream occurs 2 times.
closeWithoutDeleting occurs 1 times.
coalesce occurs 7 times.
codecMatcher occurs 2 times.
collapseActionView occurs 10 times.
collapseItemActionView occurs 16 times.
collectAttachments occurs 1 times.
collectMessagesInThreads occurs 4 times.
collectNamespacePrefixesOnPath occurs 1 times.
collectTextParts occurs 1 times.
colorChanged occurs 4 times.
colorToAngle occurs 2 times.
combine occurs 1 times.
combineFlags occurs 4 times.
combineMeasuredStates occurs 1 times.
comment occurs 3 times.
commit occurs 5 times.
commitChanges occurs 2 times.
compact occurs 4 times.
compare occurs 19 times.
compareTo occurs 6 times.
compatSetRemoteAdapter occurs 2 times.
complete occurs 3 times.
completeDeferredDestroyActionMode occurs 4 times.
completeEdit occurs 4 times.
composeVideoFilename occurs 6 times.
computeAddCcBccVisibility occurs 4 times.
computeBatchDirection occurs 6 times.
computeRect occurs 6 times.
computeRoot occurs 4 times.
computeSelectAllVisibility occurs 3 times.
computeVerticalScrollExtent occurs 1 times.
computeVerticalScrollOffset occurs 1 times.
configAmountInput occurs 4 times.
configButtons occurs 9 times.
configPresenters occurs 6 times.
configure occurs 1 times.
configureFolderSearchView occurs 4 times.
configureMenu occurs 6 times.
configureNotification occurs 6 times.
configureServicePreferences occurs 2 times.
configureTab occurs 6 times.
configureType occurs 8 times.
confirmDelete occurs 1 times.
confirmDeleteFromNotification occurs 1 times.
confirmDeleteItem occurs 2 times.
confirmDeleteStarred occurs 1 times.
confirmResetSettings occurs 2 times.
confirmSpam occurs 1 times.
confirmYesno occurs 4 times.
connectNetwork occurs 3 times.
connectSocket occurs 1 times.
connectToAP occurs 4 times.
connectToBest occurs 3 times.
connectivityChange occurs 1 times.
contactPickerIntent occurs 2 times.
contains occurs 3 times.
containsAny occurs 1 times.
containsBSSID occurs 1 times.
containsKey occurs 3 times.
containsPattern occurs 1 times.
containsPatterns occurs 1 times.
containsSSID occurs 2 times.
content occurs 5 times.
continueDrag occurs 2 times.
contribFeatureCalled occurs 10 times.
contribFeatureNotCalled occurs 5 times.
controllerCommandCompleted occurs 1 times.
convAmount occurs 1 times.
convDate occurs 1 times.
convert occurs 6 times.
convertConnectionSecurity occurs 2 times.
convertEmptyViewLayoutParams occurs 2 times.
convertFromBoolean occurs 1 times.
convertPort occurs 1 times.
convertToBoolean occurs 1 times.
convertToString occurs 3 times.
copy occurs 11 times.
copyFfmpegToAppDataDir occurs 2 times.
copyFile occurs 2 times.
copyMessage occurs 3 times.
copyMessages occurs 7 times.
copyMessagesInThread occurs 1 times.
copyOf occurs 1 times.
copyOfRange occurs 1 times.
copyOrMove occurs 3 times.
copyStringToBuffer occurs 2 times.
count occurs 8 times.
countAll occurs 5 times.
countBits occurs 4 times.
countPerAccount occurs 5 times.
countPerCategory occurs 3 times.
countPerMethod occurs 5 times.
countPerType occurs 1 times.
countSearchMessages occurs 1 times.
countSub occurs 1 times.
countTouch occurs 12 times.
countUsages occurs 2 times.
cr occurs 59 times.
create occurs 22 times.
createAllMessagesAccount occurs 1 times.
createBlurredBitmap occurs 1 times.
createCacheBroadcastReceiver occurs 2 times.
createCat occurs 3 times.
createContact occurs 2 times.
createCount occurs 1 times.
createDOM occurs 1 times.
createDeleteFileThread occurs 2 times.
createDocumentNodes occurs 2 times.
createElement occurs 6 times.
createEmailOnlyChooserIntent occurs 1 times.
createFlaggedSearch occurs 2 times.
createFlaggedSearchListener occurs 1 times.
createFolder occurs 2 times.
createFolders occurs 1 times.
createFromParcel occurs 21 times.
createHttpErrorResult occurs 1 times.
createIFileAdapter occurs 4 times.
createImageThumbnail occurs 2 times.
createInstance occurs 3 times.
createIntent occurs 6 times.
createIntentFromSuggestion occurs 4 times.
createItemFromElement occurs 4 times.
createItemView occurs 4 times.
createJDom occurs 1 times.
createListView occurs 3 times.
createLoadingLayout occurs 6 times.
createLoadingLayoutProxy occurs 4 times.
createLocationButtons occurs 3 times.
createLogFile occurs 1 times.
createMenu occurs 1 times.
createMessage occurs 3 times.
createObject occurs 1 times.
createOkResult occurs 1 times.
createOpenSourceDialog occurs 1 times.
createParser occurs 5 times.
createPendingIntent occurs 2 times.
createPlaylist occurs 1 times.
createRefreshableView occurs 9 times.
createRestErrorResult occurs 1 times.
createResultFromInputStream occurs 2 times.
createRow occurs 7 times.
createShortcutIntent occurs 1 times.
createSocket occurs 2 times.
createSpecialAccounts occurs 3 times.
createSpinner occurs 4 times.
createStoreUri occurs 1 times.
createSubnodes occurs 8 times.
createTabLayout occurs 4 times.
createTabView occurs 8 times.
createTagNode occurs 11 times.
createThreadedSubQuery occurs 2 times.
createThumbnail occurs 2 times.
createTransportUri occurs 1 times.
createUnifiedInboxAccount occurs 1 times.
createUniqueFile occurs 1 times.
createUnreadSearch occurs 4 times.
createUnreadSearchListener occurs 1 times.
createUri occurs 5 times.
createVoiceAppSearchIntent occurs 4 times.
createVoiceWebSearchIntent occurs 4 times.
cssStylePre occurs 1 times.
ctoi occurs 12 times.
cycleRepeat occurs 3 times.
cycleShuffle occurs 3 times.
d occurs 2 times.
dataChanged occurs 2 times.
databaseDir occurs 3 times.
db occurs 1 times.
deactivate occurs 3 times.
decipher occurs 3 times.
decode occurs 9 times.
decodeArguments occurs 2 times.
decodeB occurs 1 times.
decodeBody occurs 1 times.
decodeEncodedWord occurs 2 times.
decodeEncodedWords occurs 1 times.
decodeExtras occurs 3 times.
decodeFolderName occurs 3 times.
decodeInteger occurs 1 times.
decodeLoop occurs 1 times.
decodeQ occurs 2 times.
decodeSampledBitmapFromFile occurs 2 times.
decodeStoreUri occurs 1 times.
decodeTransportUri occurs 1 times.
decodeUri occurs 9 times.
decrypt occurs 3 times.
decryptSignature occurs 1 times.
defaultAppWidget occurs 6 times.
defaultPath occurs 4 times.
defineAllowedChildrenTags occurs 1 times.
defineCloseBeforeCopyInsideTags occurs 1 times.
defineCloseBeforeTags occurs 1 times.
defineCloseInsideCopyAfterTags occurs 1 times.
defineFatalTags occurs 1 times.
defineForbiddenTags occurs 1 times.
defineHigherLevelTags occurs 1 times.
defineNamespaceDeclarations occurs 2 times.
defineRequiredEnclosingTags occurs 1 times.
deflate occurs 5 times.
deflateEnd occurs 2 times.
deflateInit occurs 10 times.
deflateParams occurs 2 times.
deflateReset occurs 2 times.
delay occurs 4 times.
delayedAnimationFrame occurs 2 times.
delete occurs 58 times.
deleteAccount occurs 1 times.
deleteActionLogs occurs 1 times.
deleteAll occurs 17 times.
deleteAllBefore occurs 4 times.
deleteAllLogs occurs 1 times.
deleteAllRules occurs 1 times.
deleteAllTemplates occurs 1 times.
deleteAllTransactions occurs 2 times.
deleteAttachments occurs 6 times.
deleteBadDownload occurs 7 times.
deleteCache occurs 2 times.
deleteContents occurs 3 times.
deleteDatabase occurs 2 times.
deleteDraft occurs 1 times.
deleteEventLogs occurs 1 times.
deleteFile occurs 4 times.
deleteGeneralLogs occurs 1 times.
deleteHeaders occurs 2 times.
deleteIdentities occurs 3 times.
deleteIfExists occurs 5 times.
deleteItem occurs 2 times.
deleteLog occurs 2 times.
deleteMessageRow occurs 3 times.
deleteMessages occurs 2 times.
deleteMessagesSynchronous occurs 3 times.
deleteOldActions occurs 1 times.
deleteOldLogs occurs 2 times.
deleteRule occurs 6 times.
deleteRules occurs 2 times.
deleteServerMessages occurs 2 times.
deleteThreads occurs 1 times.
deleteThreadsSynchronous occurs 2 times.
deleteThumbnail occurs 1 times.
deleteTracks occurs 1 times.
deleteVideo occurs 2 times.
deleteWidgetConfiguration occurs 1 times.
deliverResult occurs 4 times.
demo occurs 2 times.
demoteNetwork occurs 2 times.
describeContents occurs 8 times.
destroy occurs 2 times.
destroyItem occurs 3 times.
destroyMessages occurs 1 times.
detach occurs 2 times.
determineCharset occurs 2 times.
determineEncoding occurs 2 times.
dialogCancelled occurs 3 times.
disableConnectionReuse occurs 2 times.
disableDeleteAction occurs 2 times.
disableDisplayZoomControls occurs 2 times.
disableLoadingLayoutVisibilityChanges occurs 2 times.
disableOverscrolling occurs 2 times.
disablePhoneSleep occurs 2 times.
dismiss occurs 22 times.
dismissDialog occurs 14 times.
dismissPopup occurs 10 times.
dismissPopupMenus occurs 6 times.
dismissSuggestions occurs 6 times.
dispatchCloseOptionsMenu occurs 4 times.
dispatchCommand occurs 12 times.
dispatchConfigurationChanged occurs 4 times.
dispatchCreateOptionsMenu occurs 6 times.
dispatchDestroy occurs 4 times.
dispatchDraw occurs 3 times.
dispatchFreezeSelfOnly occurs 2 times.
dispatchHoverEvent occurs 4 times.
dispatchIntent occurs 4 times.
dispatchInvalidateOptionsMenu occurs 8 times.
dispatchItemSelectedEvent occurs 2 times.
dispatchKeyEvent occurs 17 times.
dispatchLongCommand occurs 1 times.
dispatchMenuItemSelected occurs 4 times.
dispatchMenuOpened occurs 4 times.
dispatchMenuVisibilityChanged occurs 2 times.
dispatchOnCreate occurs 2 times.
dispatchOpenOptionsMenu occurs 4 times.
dispatchOptionsItemSelected occurs 6 times.
dispatchPanelClosed occurs 4 times.
dispatchPause occurs 4 times.
dispatchPopulateAccessibilityEvent occurs 8 times.
dispatchPostCreate occurs 4 times.
dispatchPostResume occurs 4 times.
dispatchPrepareOptionsMenu occurs 6 times.
dispatchPresenterUpdate occurs 4 times.
dispatchRestoreInstanceState occurs 10 times.
dispatchSaveInstanceState occurs 10 times.
dispatchStop occurs 4 times.
dispatchSubMenuSelected occurs 4 times.
dispatchThawSelfOnly occurs 2 times.
dispatchTitleChanged occurs 6 times.
dispatchTouchEvent occurs 6 times.
displayExternalURI occurs 4 times.
displayFolderChoice occurs 3 times.
displayMessage occurs 4 times.
displayMessageSubject occurs 8 times.
displayMsg occurs 3 times.
displaySpecialAccounts occurs 3 times.
displayViews occurs 3 times.
diveIn occurs 2 times.
doActionUpOrCancel occurs 4 times.
doAfterLayout occurs 1 times.
doAutoShuffleUpdate occurs 4 times.
doBackspace occurs 2 times.
doBatchSetSelection occurs 4 times.
doButton occurs 2 times.
doCheckSaveasFilenameAndFinish occurs 5 times.
doCreateNewDir occurs 3 times.
doDbUpgrade occurs 2 times.
doDbWork occurs 56 times.
doDeleteFile occurs 3 times.
doDragScroll occurs 2 times.
doEqualsChar occurs 3 times.
doFBA occurs 4 times.
doFetch occurs 1 times.
doFinalEvent occurs 12 times.
doFinish occurs 15 times.
doGoHome occurs 3 times.
doInBackground occurs 41 times.
doInTransaction occurs 1 times.
doInitialConnection occurs 3 times.
doLastOp occurs 3 times.
doLaunchContactPicker occurs 4 times.
doMessageThreading occurs 2 times.
doNegativeClick occurs 4 times.
doOpChar occurs 2 times.
doPercentChar occurs 2 times.
doPositiveClick occurs 3 times.
doProgress occurs 1 times.
doRefreshProgress occurs 10 times.
doRefreshRemote occurs 2 times.
doReloadCurrentLocation occurs 5 times.
doRepeat occurs 4 times.
doResortViewFiles occurs 3 times.
doSendIntent occurs 2 times.
doShare occurs 2 times.
doShowCannotConnectToServiceAndFinish occurs 4 times.
doShowHistoryContents occurs 2 times.
doStartForeground occurs 2 times.
doStatusUpdate occurs 4 times.
doSwitchViewType occurs 3 times.
doUpdate occurs 2 times.
doVibrateTest occurs 3 times.
doWork occurs 2 times.
doctype occurs 2 times.
doesPackageExist occurs 1 times.
domainFieldValid occurs 1 times.
domainTokenMatch occurs 2 times.
dontEscape occurs 9 times.
downloadBitmapToFile occurs 2 times.
downloadFfmpeg occurs 2 times.
downloadFunctionFromUrl occurs 2 times.
downloadLargeMessages occurs 2 times.
downloadMessages occurs 3 times.
downloadMissingArtistImages occurs 1 times.
downloadMissingArtwork occurs 1 times.
downloadRemainderButton occurs 1 times.
downloadSmallMessages occurs 2 times.
downloadThumbnail occurs 2 times.
downloadUrl occurs 6 times.
dpi occurs 2 times.
drag occurs 1 times.
dragHandleHitPosition occurs 2 times.
dragView occurs 3 times.
draw occurs 4 times.
drawAlphaPanel occurs 2 times.
drawBoard occurs 8 times.
drawChild occurs 1 times.
drawDivider occurs 3 times.
drawDividersHorizontal occurs 6 times.
drawDividersVertical occurs 6 times.
drawHorizontalDivider occurs 9 times.
drawHuePanel occurs 2 times.
drawOnCanvas occurs 8 times.
drawSatValPanel occurs 2 times.
drawScoreLandscape occurs 8 times.
drawScorePortrait occurs 8 times.
drawTextTimer occurs 12 times.
drawTile occurs 28 times.
drawTimer occurs 8 times.
drawUI occurs 2 times.
drawVerticalDivider occurs 9 times.
drawWordCount occurs 12 times.
drawWordList occurs 12 times.
drawable occurs 1 times.
drawableStateChanged occurs 2 times.
drop occurs 3 times.
dropFloatView occurs 2 times.
dropLogAction occurs 2 times.
dropLogEvent occurs 2 times.
dropTables occurs 2 times.
duration occurs 5 times.
during occurs 2 times.
duringEveryday occurs 2 times.
e occurs 2 times.
edit occurs 5 times.
editAction occurs 2 times.
editCat occurs 2 times.
editFilter occurs 2 times.
editItem occurs 5 times.
editRule occurs 3 times.
elapsedRealtime occurs 2 times.
elementAt occurs 8 times.
emptyList occurs 1 times.
emptyTrash occurs 1 times.
emptyTrashCompleted occurs 2 times.
emulateShiftHeld occurs 2 times.
enable occurs 1 times.
enableActionBarProgress occurs 2 times.
enableAutoShutdown occurs 1 times.
enableLockscreenControls occurs 1 times.
enableOmnidroid occurs 2 times.
enableProgressIndicator occurs 2 times.
enableStrictMode occurs 2 times.
encode occurs 13 times.
encodeB occurs 4 times.
encodeEncodedWord occurs 1 times.
encodeFolderName occurs 1 times.
encodeHex occurs 1 times.
encodeInteger occurs 1 times.
encodeLoop occurs 1 times.
encodeQ occurs 4 times.
encodeString occurs 11 times.
encrypt occurs 3 times.
end occurs 10 times.
endAnimation occurs 6 times.
endBodyPart occurs 1 times.
endDocument occurs 1 times.
endElement occurs 3 times.
endHeader occurs 1 times.
endMessage occurs 1 times.
endMultipart occurs 1 times.
endNow occurs 4 times.
endSession occurs 8 times.
endSleep occurs 2 times.
endTest occurs 1 times.
enforceAttBlacklistState occurs 4 times.
enforceServicePrefs occurs 1 times.
enoughToFilter occurs 2 times.
enqueue occurs 2 times.
ensureActionBar occurs 2 times.
ensureImeVisible occurs 6 times.
ensurePlayListCapacity occurs 5 times.
ensureTabsExist occurs 8 times.
entryRemoved occurs 5 times.
epilogue occurs 1 times.
equals occurs 31 times.
equalsIgnoreCase occurs 2 times.
equalsToPath occurs 3 times.
escapeText occurs 5 times.
escapeXml occurs 6 times.
evaluate occurs 6 times.
evaluateAgainst occurs 19 times.
evaluateAgainstNode occurs 1 times.
evaluateFunction occurs 2 times.
evaluateLogic occurs 3 times.
evaluateMessageForDownload occurs 2 times.
evaluateTemplate occurs 1 times.
evaluateXPath occurs 1 times.
evictAll occurs 5 times.
evictionCount occurs 1 times.
except occurs 2 times.
exceptEveryday occurs 2 times.
excludeSpecialFolder occurs 9 times.
excludeSpecialFolders occurs 2 times.
excludeUnwantedFolders occurs 1 times.
exec occurs 1 times.
execChmod occurs 2 times.
execFFMPEG occurs 1 times.
execProcess occurs 2 times.
execute occurs 23 times.
executeActions occurs 1 times.
executeOnExecutor occurs 1 times.
executeOverride occurs 1 times.
executePotentialWork occurs 1 times.
executeSimpleCommand occurs 64 times.
exist occurs 1 times.
exists occurs 7 times.
expand occurs 6 times.
expandActionView occurs 8 times.
expandItemActionView occurs 12 times.
expect occurs 31 times.
exportAll occurs 1 times.
exportPreferences occurs 2 times.
exportToFile occurs 1 times.
expunge occurs 3 times.
extractData occurs 3 times.
extractInfoFromContactPickerIntent occurs 2 times.
extractMessageId occurs 1 times.
extractMessageIds occurs 1 times.
extractNewMessages occurs 1 times.
extractParties occurs 3 times.
extractPartsFromDraft occurs 1 times.
extractTextAndAttachments occurs 1 times.
extractTextual occurs 3 times.
extractUserCredentials occurs 4 times.
fade occurs 5 times.
fail occurs 21 times.
failure occurs 11 times.
fastUrlDecode occurs 1 times.
fetch occurs 23 times.
fetchAccounts occurs 2 times.
fetchAlbumArt occurs 1 times.
fetchAlbumPhoto occurs 2 times.
fetchAll occurs 35 times.
fetchAllBefore occurs 4 times.
fetchAllGlobalAttributes occurs 1 times.
fetchAllOrdered occurs 1 times.
fetchAllSince occurs 1 times.
fetchAllSpecificAttibutes occurs 1 times.
fetchBody occurs 4 times.
fetchDecipheringFunction occurs 2 times.
fetchEnvelope occurs 5 times.
fetchFlags occurs 3 times.
fetchMessages occurs 4 times.
fetchOldActions occurs 1 times.
fetchPart occurs 2 times.
fetchUnsyncedMessages occurs 2 times.
fetchingAttachment occurs 1 times.
field occurs 1 times.
file occurs 4 times.
fillNavigation occurs 2 times.
fillParamWithEventAttrib occurs 2 times.
fillWindow occurs 1 times.
filterByCondition occurs 2 times.
filterEquals occurs 1 times.
filterLang occurs 2 times.
filterLeftoverView occurs 4 times.
finalize occurs 1 times.
find occurs 2 times.
findAppWidgets occurs 2 times.
findAttachments occurs 3 times.
findAudioCodec occurs 2 times.
findAudioSuffix occurs 2 times.
findClosingIndex occurs 7 times.
findElement occurs 4 times.
findElementByAttValue occurs 1 times.
findElementByName occurs 1 times.
findElementHavingAttribute occurs 1 times.
findExpandedIndex occurs 4 times.
findFirstPartByMimeType occurs 2 times.
findFirstTagPos occurs 1 times.
findFormAction occurs 3 times.
findFragmentByTag occurs 1 times.
findFragments occurs 3 times.
findGroupIndex occurs 8 times.
findHtmlPart occurs 3 times.
findIdentity occurs 4 times.
findInsertIndex occurs 2 times.
findInsertionPoints occurs 2 times.
findItem occurs 16 times.
findItemIndex occurs 6 times.
findItemWithShortcut occurs 6 times.
findItemWithShortcutForKey occurs 6 times.
findItemsWithShortcutForKey occurs 4 times.
findNewAccountNumber occurs 2 times.
findNewestMessageForNotificationLocked occurs 2 times.
findOrCreateCache occurs 1 times.
findOrCreateRetainFragment occurs 2 times.
findPartByContentId occurs 2 times.
findPreference occurs 129 times.
findProviderForDomain occurs 2 times.
findSyncPosition occurs 4 times.
findTag occurs 2 times.
findTagToPlaceRubbish occurs 1 times.
findTextPart occurs 3 times.
findVideoFilenameBase occurs 2 times.
findViewById occurs 322 times.
findViewForItem occurs 4 times.
finish occurs 136 times.
finishAnimation occurs 6 times.
finishAutoSetup occurs 3 times.
fireOnSelected occurs 6 times.
firstId occurs 1 times.
fixDateValues occurs 1 times.
fixDisabledNetworks occurs 4 times.
fixDraftTextBody occurs 4 times.
fixText occurs 1 times.
fixupCharset occurs 2 times.
flagActionItems occurs 16 times.
flatten occurs 4 times.
floatValue occurs 6 times.
flush occurs 24 times.
foldAndEncode occurs 1 times.
folderLoading occurs 3 times.
folderStatusChanged occurs 7 times.
for occurs 182 times.
forceLayout occurs 2 times.
forceLoad occurs 2 times.
forceSuggestionQuery occurs 6 times.
format occurs 1 times.
formatCurrency occurs 4 times.
formatDate occurs 5 times.
formatNumber occurs 1 times.
formatSize occurs 1 times.
formatUrl occurs 4 times.
foundLiteral occurs 3 times.
free occurs 3 times.
fromBundle occurs 1 times.
fromIntent occurs 1 times.
fromMessage occurs 1 times.
fromPath occurs 3 times.
fromPrettyString occurs 6 times.
fromSQL occurs 2 times.
fromScanResultArray occurs 1 times.
fromString occurs 22 times.
fromValue occurs 2 times.
fullReset occurs 4 times.
fullUrl occurs 1 times.
genPreferenceFilename occurs 1 times.
generalizeAttribute occurs 5 times.
generateAccountNumber occurs 1 times.
generateBoard occurs 4 times.
generateBoundary occurs 2 times.
generateCV occurs 2 times.
generateColorChip occurs 2 times.
generateDefaultLayoutParams occurs 16 times.
generateDeleteUrl occurs 3 times.
generateFiveByFiveBoard occurs 4 times.
generateFourByFourBoard occurs 4 times.
generateInitialData occurs 2 times.
generateLayout occurs 4 times.
generateLayoutParams occurs 14 times.
generateMessage occurs 3 times.
generateMessageId occurs 1 times.
generateOverflowButtonLayoutParams occurs 2 times.
generatePatternBitmap occurs 2 times.
generateThumbUrl occurs 1 times.
generateTree occurs 4 times.
gesturesEnabled occurs 1 times.
get occurs 19 times.
getAbsolutePath occurs 2 times.
getAcceptedIssuers occurs 2 times.
getAccount occurs 10 times.
getAccountCredentials occurs 1 times.
getAccountDescription occurs 1 times.
getAccountFromCursor occurs 5 times.
getAccountName occurs 1 times.
getAccountNumber occurs 1 times.
getAccountSettings occurs 1 times.
getAccountStats occurs 3 times.
getAccountUnread occurs 2 times.
getAccountUuid occurs 1 times.
getAccountUuids occurs 2 times.
getAccountUuidsForSelected occurs 2 times.
getAccounts occurs 2 times.
getAcknowledgeIntent occurs 1 times.
getAction occurs 5 times.
getActionBar occurs 23 times.
getActionItems occurs 2 times.
getActionKeyMessage occurs 4 times.
getActionLog occurs 2 times.
getActionLogs occurs 1 times.
getActionName occurs 2 times.
getActionProvider occurs 8 times.
getActionReplyIntent occurs 1 times.
getActionView occurs 8 times.
getActionViewStatesKey occurs 6 times.
getActions occurs 5 times.
getActionsForApplication occurs 1 times.
getActionsForRule occurs 2 times.
getActiveRuleCount occurs 1 times.
getActivity occurs 95 times.
getActivityCount occurs 4 times.
getActivityIcon occurs 4 times.
getActivityIconWithCache occurs 2 times.
getActivityIndex occurs 2 times.
getAdapter occurs 31 times.
getAdapterPositionForSelectedMessage occurs 2 times.
getAdditionalHeaders occurs 2 times.
getAddress occurs 3 times.
getAddressFromReceivedHeader occurs 2 times.
getAddresses occurs 5 times.
getAlbumArt occurs 4 times.
getAlbumArtist occurs 1 times.
getAlbumFragment occurs 7 times.
getAlbumId occurs 3 times.
getAlbumName occurs 9 times.
getAlbumSongFragment occurs 5 times.
getAlbumSongSortOrder occurs 1 times.
getAlbumSortOrder occurs 1 times.
getAlertText occurs 2 times.
getAlias occurs 1 times.
getAll occurs 1 times.
getAllAccounts occurs 2 times.
getAllApplications occurs 1 times.
getAllElements occurs 1 times.
getAllElementsList occurs 1 times.
getAllEvents occurs 1 times.
getAllLogs occurs 1 times.
getAllMessageRefs occurs 1 times.
getAllowedHorizontalScrollLength occurs 1 times.
getAllowedVerticalScrollLength occurs 1 times.
getAlpha occurs 10 times.
getAlphaSliderText occurs 1 times.
getAlphabeticShortcut occurs 8 times.
getAlwaysBcc occurs 1 times.
getAmount occurs 1 times.
getAmountMajor occurs 1 times.
getAmountMinor occurs 1 times.
getAndroidTestRunner occurs 1 times.
getAnimatedFraction occurs 4 times.
getAnimatedValue occurs 18 times.
getAnimatedVisibility occurs 2 times.
getAnimation occurs 1 times.
getAppId occurs 1 times.
getAppName occurs 9 times.
getApplication occurs 8 times.
getApplicationContext occurs 6 times.
getApplicationFromAction occurs 1 times.
getArchiveFolderName occurs 1 times.
getArgValue occurs 30 times.
getArguments occurs 42 times.
getArtistAlbumFragment occurs 4 times.
getArtistAlbumSortOrder occurs 1 times.
getArtistFragment occurs 6 times.
getArtistId occurs 2 times.
getArtistName occurs 8 times.
getArtistSongFragment occurs 7 times.
getArtistSongSortOrder occurs 1 times.
getArtistSortOrder occurs 1 times.
getArtwork occurs 1 times.
getArtworkFromFile occurs 2 times.
getAsString occurs 9 times.
getAssets occurs 3 times.
getAttachedImageView occurs 5 times.
getAttachmentCallback occurs 1 times.
getAttachmentCount occurs 1 times.
getAttachmentDefaultPath occurs 1 times.
getAttachmentDirectory occurs 5 times.
getAttachmentId occurs 1 times.
getAttachmentInfo occurs 1 times.
getAttachmentThumbnailUri occurs 1 times.
getAttachmentUri occurs 4 times.
getAttachmentUriForViewing occurs 1 times.
getAttribute occurs 9 times.
getAttributeByName occurs 1 times.
getAttributeInsertName occurs 3 times.
getAttributeTransformations occurs 1 times.
getAttributeValue occurs 2 times.
getAttributes occurs 4 times.
getAttributesForEvent occurs 1 times.
getAudioId occurs 5 times.
getAudioJobProgress occurs 2 times.
getAudioSessionId occurs 5 times.
getAuthCookies occurs 1 times.
getAuthString occurs 2 times.
getAuthType occurs 2 times.
getAutoExpandFolderName occurs 1 times.
getAutomaticCheckIntervalMinutes occurs 1 times.
getAvailableAccounts occurs 2 times.
getAvailableProviders occurs 1 times.
getBackground occurs 3 times.
getBackgroundOps occurs 1 times.
getBackupDbFile occurs 2 times.
getBackupPrefFile occurs 2 times.
getBaseContext occurs 10 times.
getBaseline occurs 2 times.
getBelongsTo occurs 1 times.
getBitmapFromCache occurs 2 times.
getBitmapFromDiskCache occurs 2 times.
getBitmapFromMemCache occurs 3 times.
getBitmapSize occurs 2 times.
getBitmapWorkerTask occurs 5 times.
getBlob occurs 3 times.
getBoard occurs 4 times.
getBody occurs 4 times.
getBodyForDisplay occurs 1 times.
getBodyPart occurs 1 times.
getBodyTextFromMessage occurs 3 times.
getBoolean occurs 1 times.
getBooleanArgument occurs 3 times.
